Common_name,Species,location,date_first record,first record source
11-2016 NI BABY barn,EI,MARSA ABU DABBAB,13-08-2016,Micol Montagna
4-2016 NI EI NI,EI,MARSA ABU DABBAB,6/4/2016,Micol Montagna
7-2016 NI EI baby,EI,MARSA ABU DABBAB,6/26/2016,Micol Montagna
ABDU,EI,Shab Abu Dabbab,17-10-2018,AbDAllah Taher - MM
ADAM,CM,MARSA SHOUNA,4/4/2025,Abdallah Taher
ADÉLKA,CM,BLUE-DREAM-EMERALD LAGOON HR,5/2/2025,Tadeáš Černohous
AERO,CM,HERMES,7/12/2024,Ruud VAN DEN BERG
AGATE,EI,EL HELAL - BEACH,9/9/2024,Magdalena Stachura
AGHO1 EI,EI,Abo Ghosun,17-06-2018,ABDAllah Taher - MM
AGHO2 EI,EI,Abo Ghosun,08-07-2018,ABDAllah Taher - MM
AGNES,CM,SHAMS ALAM,01-05-2022,Monika Nápravníková
AGNESE,CM,TONDOBA,26/12/2024,Micol Montagna
Agnieszka,CM,HERMES,8/19/2022,ABDALLAh Taher - MM
AHIMSA,CM,Fayrouz,5/19/2022,Dorte Vilsgaard
Ahmed,CM,Abu Dabbab,7/16/2011,HEPCA catalogue 2012
AISHA,CM,NAAMA BAY,6/21/2025,Anita Stoppini
AKILA,EI,PANORAMA REEF,5/2/2024,AMANdine Chanvrier
ALADIN,EI,Tondoba,01-11-2020,Micol M
ALBA,EI,CAVES,20/11/2022,Amr Kamel
ALBINKA,CM,BLUE-DREAM-EMERALD LAGOON HR,4/24/2025,Tadeáš Černohous
ALCARO,CM,LAHAMI BAY,2/29/2024,Dagmar Hauptmann
ALESSANDRA,CM,TONDOBA,14/12/2022,SIMONETTA ZANDIRI
ALESSIO,EI,Gabel Rosas - Brayka Bay,01-11-2011,KoenCrabbe
ALEX,EI,Lighthouse,07-08-2004,HEPCA catalogue 2012
ALEXANDRA,EI,Marsa Shagra,22-06-2017,Sarah OGorman
Ali,CM,Abu Dabbab,12/5/2005,Andreas Kolberg
ALICE,CM,Egla,25-11-2018,AbDAllah Taher - MM
ALISEA,CM,TONDOBA,12/29/2020,Micol MONTAGNA
ALISON,EI,Shark and Yolanda,15-11-2011,HEPCA catalogue 2012
ALIZÈ,CM,SHAMS ALAM,6/8/2025,Micol Montagna
ALKE,CM,TONDOBA,14/12/2022,MAJA ZAMENCKA
ALMALOVE,EI,TONDOBA,10/8/2019,SIMONETTA ZANDIRI - DEAS
ALMAZ,EI,SHAMS SAFAGA,10-06-2019,Benjamin Gundacker
Altea,CM,Abu Dabbab,6/7/2017,Abdallah Taher - MM
AMADEO,CM,TONDOBA,6/25/2024,Micol MONTAGNA
AMAL KABIR,CM,Fayrouz,10-2018,BEAT RIMANN
AMALIA,EI,GASSOUS BAY,6/16/2022,Cecilie Dönhöfer
AMALY,EI,SENTIDO LAS CABANAS ORIENTAL COAST,14/11/2022,NICOLE HORAK
AMARA,CM,NAama Bay,21/11/2022,ANITA STOPPINI
AMBESA,EI,LAHAMI BAY,1/26/2023,ARIANNA MATUOZZO
AMI,EI,Sha'ab Sharm,16-08-2018,KATRIN ESTER - WAGI
Amina,CM,Abu Dabbab,4/4/2008,Michaela Sladkova - FB
AMIRA,CM,"masbat bay, LIGHTHOUSE",9-1-2013,Andreas Beck SDD
AMMAR,CM,Marsa Shona,11-01-2019,AbDAllah Taher - MM
AMUN,CM,MAKADI BAY,10/10/2024,Lisa Riesterer
AMY,EI,SHA'AB ABU DABBAB 4-5,15-09-2021,AxelFenske-DeniseSchlusen
ANAKIN,CM,Mubarak,13-04-2018,Micol M
Andrea,CM,Abu Dabbab,3/10/2017,Abdallah Taher - MM
ANDREAS,CM,Marsa Shouna,7/9/2022,Nina Eschner
ANDRZEJ,CM,HERMES,8/19/2022,ABDALLAh Taher - MM
ANEŽKA,CM,BLUE-DREAM-EMERALD LAGOON HR,2/20/2024,Loris Vannucci
ANGELA,EI,"Abu Ramada North, South",24-11-2018,Shelley Palmer
ANGELO,EI,ABU SAILE,3/17/2024,Mariska van der Paauw - MM
ANGELPUFF,EI,OM HAL HALA KHADIR,28/11/2023,"Sarah O_Gorman, Kathy Hughes, Mary Corden"
ANITA,CM,TORFA,21-06-2023,MICOL MONTAGNA
Ann VD,EI,Brayka,01-11-2010,Koen CRABBE - TGIM
ANNA,CM,"Gorgonia, Shams Alam",29-10-2014,KoenCrabbe
ANNA-LENA,EI,ASHELINYAT,28/12/2023,Doreen Hofmann
ANNA-MARIA,EI,ABU SAILE,12-06-2024,DOREen Hofmann
ANNAOBI,EI,Ras Hornkorab,19-10-2020,Micol M
ANNE,EI,Ben El Gebel,28-06-2019,Osman Gamal
Annebel,EI,Brayka,02-11-2011,Koen CRABBE - TGIM
ANNETTE,CM,"MARSA ABU DABBAB, HERMES",6/22/2021,Elke Bojanowski
ANNIE,CM,Masbat Bay,02-06-2014,Nina Milton
ANRIZ,EI,SHA'AB LAHMI,8/11/2023,ULRIKE BESELIN
Ansofie,CM,"Hermes , Abu Dabbab",9/1/2016,Thomas Vanpuymbroeck
ANTONIO,CM,Blue Lagoon House Reef,20-08-2019,Antonio Negrinelli
APOLLO,EI,Jackfish Alley - Marsa Bereika - Shark Yolanda,21-05-2018,Richard Perry - OCCO
AQUAMARINE,CM,SHAMS ALAM,5/15/2023,KERstin Schumann
ARCHIE,CM,MARSA ABU DABBAB,6/22/2021,Elke Bojanowski
ARIANNA,CM,LAHAMI BAY,9/22/2021,DANIELA Adelfinger
ARIEL,CM,MARSA EGLA,10/9/2024,LORELLA NIMIS
ARMIN,CM,SHAAB ABU DABBAB - HALHALA,8/16/2022,ABDALLAh Taher - MM
ARWA,CM,TONDOBA,1/27/2023,MICOL MONTAGNA
ASHLEY,EI,Shag Rock,04-06-2019,NEIL OWEN
ASIEL,EI,ELPHISTONE RESORT HR,3/5/2025,ABDALLAH TAHER 
ASUNK3,CM,"Asalaya,Egla",25-05-2018,Micol M
ASUNK4,CM,Asalaya,27-05-2018,Micol M
ASUNK6,CM,Asalaya,31-07-2018,MM
ASUNK7,CM,Asalaya,31-07-2018,MM
ASUNK8,CM,"Asalaya, Egla",17-08-2018,ABDAllah Taher - MM
ASZRA,EI,ABU KARIM SORAYA,03-12-2023,ABDALLAh Taher - MM
ATHENA,CM,GOLDEN BLOCKS,8/12/2012,NINA MILTON
ATTICA,CM,HERMES,8/6/2022,STEFANIE KRIEG
AURELIA,CM,MARSA MUBARAK,5/20/2022,Dorte Vilsgaard
Aussie,CM,Ras Baridi - Saudi Arabia,9/21/2016,Nicolas Pilcher -NCW
AVA,CM,SHAMS ALAM,7/31/2022,MICHAEL HEEG
AXEL,CM,ABU SAYL,4/7/2024,MARISKA van der Paauw - MM
AYA,CM,TONDOBA,1/11/2020,SILVIA BODEI
AZIZ,CM,Abu Dabbab,24-07-2011,HEPCA catalogue 2012
AZURO,EI,Daedalus Reef-Wadi Lahmi Azur,01-10-2011,Mariska van der Paauw - MM
BABA DANA,EI,SHAAB PINKY,2/18/2022,ALFONSO CAMPOS
BABE,EI,Marsa Shoony Bay,14-06-2018,Gerry van Koot-MM
BACRI,CM,ARTA BAY,12/2/2024,Emilio Mancuso
BAILEY,CM,SOMA BAY,9/19/2025,Sarah Abdelhamid
BAJU,CM,MARSA MUBARAK,8/1/2025,Doreen Hofmann
BANG,CM,Wadi Lahmi,28-12-2018,Alessandro Ferlazzo Ciano
BARABA,CM,MARSA SAMADAI,9/19/2021,SILVIA BODEI
BARBARA,CM,TONDOBA,27/10/2024,MICOL MONTAGNA
